country,countryiso3code,year,GDP growth %,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate,Foreign Domestic Investment(FDI),Gross Capital Formation(GCF),Gross Domestic Product(GDP),Gross National Income(GNI)
Japan,JPN,2019,-0.402169200894946,-0.213197884142048,8.14628219604492,0.46877615938395,84.3563414634146,,-0.140464977878172,,2.351,39.960544340014096,1319.9150626775802,5117.99385301651,5318.49442165303
Japan,JPN,2020,-4.16876457146743,-3.53864658589532,7.29289722442627,-0.024995834027731,84.56,,-0.294194617750067,,2.809,62.5847193980912,1274.8389842953,5054.06800537628,5239.48760225504
Japan,JPN,2021,2.69657404187188,2.49117896486122,7.41083431243896,-0.233352779398264,84.4456097560976,,-0.459952415807642,,2.828,35.0271638757213,1301.3464527281299,5039.148168861219,5279.64803325491
Japan,JPN,2022,0.941998775483285,-0.464148933274217,7.52129125595093,2.49770278172255,83.9963414634146,,-0.443851919148528,,2.6,48.153832744058505,1141.2990289713,4262.46331779653,4525.47768349998
Japan,JPN,2023,1.47503481053384,2.72830047913214,,3.26813365933163,84.0412195121951,,-0.487370782049143,,2.6,20.1799938176998,1103.09834524203,4213.16723790583,4463.80161961666
Mexico,MEX,2018,1.97208207701884,1.42609351947365,16.5778503417969,4.89935015356551,74.301,95.0,0.9466023549862,41.9,3.275,37.85719319,294.947788290189,1256.3001827758,1223.82171611791
Mexico,MEX,2019,-0.392690505099296,0.169508401665979,,3.63596142127046,74.53,,0.950144329831411,,3.477,29.94740927,288.840518608302,1304.10620390245,1267.4241462656598
Mexico,MEX,2020,-8.35403456576364,-8.8619001423223,16.1958599090576,3.39683415570006,70.449,95.0,0.820454117563552,43.9,4.44,31.537615205,226.866058060819,1121.06476740151,1085.04750472968
Mexico,MEX,2021,6.04848345704632,6.3827536033133,15.8831300735474,5.68920847683753,69.75,,0.66740537533078,,4.019,35.446400664,285.79423712269397,1316.56946673528,1282.5491373299099
Mexico,MEX,2022,3.71098893117183,2.77454174690146,,7.8962761916855,73.973,,0.753116988604166,36.3,3.256,39.127126212,334.019621758453,1466.4648993036799,1432.52267650734
