country,countryiso3code,year,FDI,GCF,GDP,GDP growth %,GNI,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Azerbaijan,AZE,2023,252836000.0,12851117647.0588,72428470588.2353,1.35447731755447,69347647058.8235,,,8.78543049849081,74.429,100.0,0.120242150339289,,5.636
"Bahamas, The",BHS,2018,491404689.229667,3286700000.0,12819200000.0,2.39852000603884,11984100000.0,-1.35776230422711,12.6787691116333,2.26586346678736,74.062,,0.569969444023085,,10.0
"Bahamas, The",BHS,2019,482229306.391,3370300000.0,13277000000.0,-0.839051301013157,12654810000.0,1.94436764945223,11.2915163040161,2.49123527368046,71.408,,0.497339072752345,,9.336
"Bahamas, The",BHS,2020,434599799.803594,2390900000.0,10363200000.0,-20.0895554324841,9830610000.0,-20.1271164040172,12.1819257736206,0.0385210980054558,72.994,,0.300555038290333,,12.027
"Bahamas, The",BHS,2021,383064779.121094,2941900000.0,12037000000.0,17.5868973691568,11325460000.0,12.3450114643306,12.282262802124,2.90491262928478,70.752,,0.128749531818761,,11.032
"Bahamas, The",BHS,2022,530913950.39875,3309600000.0,13896800000.0,10.8774550145968,13143770000.0,7.87524080378724,11.4419317245483,5.60540633583044,74.491,,0.293483989063331,,9.272
"Bahamas, The",BHS,2023,322456455.071094,3491500000.0,15271300000.0,3.0487749628502,14673790000.0,8.61064469540645,11.5939617156982,3.05291578969743,74.552,,0.477303918283875,,8.643
Bahrain,BHR,2018,1654255319.14894,14070502644.7639,39567978723.4043,2.05258864979861,37491914893.617,2.9796450625994,9.25130939483643,2.08766938046978,80.412,,0.131482303617889,,1.2
Bahrain,BHR,2019,941755319.148936,14408713366.632,40446808510.6383,2.05287774418655,38186170212.766,1.1927508249625,8.55740356445312,1.00582004702137,80.471,,-1.29469437720599,,1.223
Bahrain,BHR,2020,1021276595.74468,13365884435.7159,35837632978.7234,-5.9113629524152,33378590425.5319,-11.7389831461984,9.36690330505371,-2.31770629331379,78.683,,-0.781611308056263,,1.781
Bahrain,BHR,2021,1779255319.14894,11472894967.3184,40840212765.9574,4.35004091668986,38312287234.0426,4.41124057912512,9.08058261871338,-0.60631938514085,78.083,,2.16102845934147,,1.541
Bahrain,BHR,2022,1951329787.23404,11424156117.0213,46458191489.3617,6.18016125475185,44495425531.9149,18.8072493474782,9.29553604125977,3.62574104304482,80.992,98.0,1.34221960637543,,1.326
Bahrain,BHR,2023,7225797872.34043,13517739802.5968,46192260638.2979,3.87811614845566,43584813829.7872,7.80893358617783,,0.0746206782192256,81.284,98.0,3.37686417721007,,1.154
Bangladesh,BGD,2018,2421626238.43717,102265902180.14,321362752441.78,7.31941263014136,334213984192.582,7.86536477610693,11.9579200744629,5.54362139486476,72.122,74.0,0.820955197842845,,4.407
Bangladesh,BGD,2019,1908045387.02685,113144827821.096,351231654603.692,7.88191515117722,365618637342.157,8.01568503052006,11.3293676376343,5.59199639930629,72.625,75.0,0.84641125179804,,4.441
Bangladesh,BGD,2020,1525312160.40493,117085264443.764,373979442362.193,3.44801755122445,389459167662.235,3.47995596321726,10.3874378204346,5.69107474746211,71.421,75.0,0.836310836229073,,5.436
Bangladesh,BGD,2021,1723856464.12346,129122214896.382,416271647911.014,6.93867912442445,438182167775.955,8.09743992281533,10.221302986145,5.54565430773473,71.103,76.0,0.814977993693211,,5.327
Bangladesh,BGD,2022,1634888030.42698,147459670435.529,460131689083.083,7.09982877575158,478360553749.872,5.78528643574691,11.6619834899902,7.69695437176898,74.265,,1.02423384746683,18.7,4.593
Bangladesh,BGD,2023,1385155351.84895,135385294918.374,437415333018.291,5.77511237007889,454873456328.939,5.79985059078267,10.6746625900269,9.8835030377921,74.672,,1.22171475464107,,4.454
Barbados,BRB,2018,241596500.0,,5629916200.0,-1.17406509373819,5389916200.0,,16.3585720062256,3.67381410406801,76.378,,0.192553930005438,,8.322
Barbados,BRB,2019,215370130.0,,5788288000.0,0.652585417698418,5521288000.0,,13.8598604202271,4.10028964518461,76.495,,0.176538259610281,,8.412
Barbados,BRB,2020,262100000.0,,5168344450.0,-15.0543629495892,5101344450.0,,16.1424694061279,,76.647,,0.174452216457154,,9.777
Barbados,BRB,2021,238735060.0,,5275242050.0,-0.254965880216531,5179242050.0,,14.8447303771973,,76.58,,0.159263661079578,,9.433
Barbados,BRB,2022,200000000.0,,6257303500.0,17.8328630251327,6091303500.0,,12.7307195663452,,75.676,,0.0605883465692588,,8.365
Barbados,BRB,2023,224900000.0,,6720733200.0,4.09382010970572,6453733200.0,,12.4731502532959,9.79207077126447,76.178,,0.00637558575909917,,7.878
Belarus,BLR,2018,1426500000.0,16856039041.8569,60031026576.26,3.14919759374968,57861187726.0003,7.1242369457142,13.2640409469604,4.87230220550684,74.1756097560976,,-0.213824206997671,5.6,4.763
Belarus,BLR,2019,1273300000.0,18775561327.3461,64410170653.4569,1.4464554769185,62499831005.415,2.86458842931417,13.0782632827759,5.59815595039854,74.2268292682927,100.0,-0.201786600970723,5.0,4.165
Belarus,BLR,2020,1393200000.0,16849492227.1297,61371673344.7424,-0.67274295062424,58875118002.111,-0.512425724057408,12.8703765869141,5.54814357456511,72.1385609756098,,-0.42347525027949,4.8,4.049
Belarus,BLR,2021,1230721861.86,16986971550.1196,69673747131.87,2.43886212396822,67115938432.45,2.13944288692282,12.3624439239502,9.46028389623103,72.0714634146342,,-0.82823272086807,4.1,3.9
Belarus,BLR,2022,1606417743.38,15933894368.0743,73775179924.603,-4.65839591573585,70678268154.2972,-0.930899437192707,12.8108110427856,15.209675274081,74.1033658536585,,-0.804228426880244,3.9,3.574
Belarus,BLR,2023,1992107728.25,17910718739.0892,72478760370.4258,4.12654007153881,70130048048.9467,0.402367545947513,,5.0005990309131,74.1837804878049,,-0.540824986374776,,3.461
Belgium,BEL,2018,-41601387266.7493,138652798514.353,542638913427.921,1.87796847383565,548120195689.725,1.31983965776885,11.8788394927979,2.05316499865186,81.5951219512195,,0.455184695275022,14.8,5.941
Belgium,BEL,2019,-10587088044.2371,132440887199.215,536726344405.489,2.4428900448156,541251484269.019,2.92839878088844,11.8170013427734,1.43681956996429,81.9951219512195,,0.540461327098122,14.1,5.364
Belgium,BEL,2020,-30416922630.7659,127489873727.938,529694473501.791,-4.7929839083518,534435843769.651,-4.41255738675835,11.1488370895386,0.740791812220344,80.6951219512195,,0.430996815099722,12.7,5.545
Belgium,BEL,2021,35347519888.6006,146290901746.897,598522422241.851,6.20759981274431,606210589079.448,5.51180536535372,11.3196802139282,2.44024851144084,81.790243902439,,0.411601996532257,13.2,6.248
Belgium,BEL,2022,11875049208.5361,159832880649.222,593614574325.878,4.2593607365269,600536157719.458,0.748925505717878,,9.597511728725,81.7487804878049,,0.808165350001861,12.3,5.57
Belgium,BEL,2023,-2776119886.70005,163498737283.728,644655275111.58,1.201691781997,653552385885.698,2.76118615414707,,4.04901077613941,82.3975609756098,,0.913715890414841,,5.528
Belize,BLZ,2018,122041646.954707,379000000.0,2293250000.0,1.11057125008675,2137006450.0,-4.12769503458122,22.149019241333,0.269982622646335,72.322,,1.86459847610366,,7.896
Belize,BLZ,2019,93910241.7033733,402500000.0,2388300000.0,4.26763689618086,2224796150.0,3.276567232533,22.2200603485107,0.187069385181424,72.577,,1.46284533510266,,9.053
